folder,file,NFuncs,LOC,NFuncs/LOC,LOC/F
belief_propagation,belief_propagation.py,2,23,0.087,11.5
belief_propagation,belief_propagation_claude.py,0,15,0.0,N/A
belief_propagation,belief_propagation_claude_modular.py,6,34,0.1765,5.6667
cvar,cvar.py,2,28,0.0714,14.0
cvar,cvar_claude.py,0,26,0.0,N/A
cvar,cvar_claude_modular.py,6,43,0.1395,7.1667
fft,fft.py,2,22,0.0909,11.0
fft,fft_claude.py,0,13,0.0,N/A
fft,fft_claude_modular.py,6,32,0.1875,5.3333
gauss_legendre_quadrature,gauss_legendre_quadrature.py,4,24,0.1667,6.0
gauss_legendre_quadrature,gauss_legendre_quadrature_claude.py,0,14,0.0,N/A
gauss_legendre_quadrature,gauss_legendre_quadrature_claude_modular.py,6,32,0.1875,5.3333
heat_distribution_lu,heat_distribution_lu.py,1,18,0.0556,18.0
heat_distribution_lu,heat_distribution_lu_claude.py,0,15,0.0,N/A
heat_distribution_lu,heat_distribution_lu_claude_modular.py,5,29,0.1724,5.8
look_and_say,look_and_say.py,2,33,0.0606,16.5
look_and_say,look_and_say_claude.py,0,30,0.0,N/A
look_and_say,look_and_say_claude_modular.py,4,43,0.093,10.75
